city,density,pop
Шумерля,2222.03,31722
Ядрин,153.65,9614
Алатырь,846.47,38203
Канаш,2459.51,45607
Волжск,1381.28,55659
Йошкар-Ола,2672.3,259256
Козьмодемьянск,1515.81,21257
Ижевск,2056.84,627734
Камбарка,395.76,11021
Воткинск,874.16,99022
Глазов,1356.93,95854
Нижний Новгород,3065.68,1259738
Володарск,401.32,9928
Арзамас,3046.24,106362
Саров,409.76,92047
Павлово,1491.36,60698
Городец,245.91,30658
Новосибирск,3189.81,1473754
Искитим,1907.42,60078
Бердск,1541.64,97296
Болотное,264.9,16570
Горно-Алтайск,668.53,56933
Абакан,1638.8,165214
Саяногорск,2492.53,63322
Сорск,163.09,12143
Кемерово,1896.11,532981
Топки,540.87,28641
Юрга,1824.4,81533
Таштагол,292.49,23134
Мариинск,683.41,40526
Ленинск-Кузнецкий,757.2,103938
Полысаево,537.84,30671
Междуреченск,291.86,101678
Мыски,382.96,45375
Белово,332.1,134513
Прокопьевск,863.32,210130
Киселевск,568.63,103019
Анжеро-Судженск,602.24,82497
Новокузнецк,1302.11,547904
Калтан,791,21892
Томск,1948.41,546049
Северск,2213.18,115331
Колпашево,663.11,24124
Стрежевой,1317.5,42219
Асино,270.57,25618
Барнаул,1963.83,670332
Рубцовск,1715.81,147002
Алейск,660.41,29510
Бийск,692.27,219328
Камень-на-Оби,836.13,44648
Яровое,407.66,18604
Заринск,588.64,48461
Змеиногорск,323.1,10955
Новоалтайск,1017.16,70437
Красноярск,2765,974591
Ачинск,1019.9,110448
Боготол,332.38,21051
Минусинск,3864.97,73948
Канск,936.98,94226
Игарка,485.1,6183
Шарыпово,1238.97,48814
Ужур,26.48,16093
Норильск,7686.44,176252
Дудинка,2048.86,22175
Дивногорск,514.43,32193
Заозерный,935.09,10681
Лесосибирск,215.31,66240
Енисейск,271.07,18766
Сочи,2400.19,420589
Туапсе,1863.78,63292
Ростов-на-Дону,3243.34,1089261
Таганрог,3128.59,257681
Новочеркасск,1318.48,168746
Донецк,2425,50098
Зерноград,2013.43,26842
Батайск,1605.37,111843
Азов,1204.96,82937
Новошахтинск,799.87,111075
Красный Сулин,412.04,40866
Гуково,1658.3,67278
Зверево,604.22,24119
Шахты,1488.57,239987
Волгодонск,940.6,170841
Ставрополь,2527.26,398754
Нефтекумск,1238.15,27687
Светлоград,886.78,38520
Благодарный,1295.83,32725
Ипатово,1501.31,26053
Георгиевск,2708.56,72153
Новопавловск,1380.95,26562
Зеленокумск,1479.21,35839
Изобильный,1360.71,40555
Новоалександровск,1285.57,26757
Невинномысск,1169.82,118360
Пятигорск,1503.97,211078
Ессентуки,2173.58,100996
Железноводск,267.5,52831
Кисловодск,1799.9,135368
Минеральные Воды,1450.2,91501
Элиста,1116.63,108289
Черкесск,1753.51,129069
Карачаевск,1777.62,39658
Махачкала,1273.91,696885
Каспийск,3531.88,100129
Кизилюрт,949.52,43421
Дербент,1776.82,119200
Буйнакск,3106.44,62623
Хасавюрт,3531.48,131187
Южно-Сухокумск,115.71,10035
Кизляр,1528.34,51707
Краснодар,2705.92,832532
Новороссийск,3369.64,298253
Курганинск,1107.32,47970
Ейск,581.01,97178
Тихорецк,1267.97,63295
Анапа,1286.22,70280
Геленджик,3991.17,91126
Приморско-Ахтарск,1714.71,32257
Усть-Лабинск,1095.21,43270
Тимашевск,1730.83,53924
